#ies_format_version: 1.0
#file: 20250813_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250813;	133235;	1755072155.000;	 err32;	 err32;	    err32
20250813;	133240;	1755072160.000;	 err32;	 err32;	    err32
20250813;	133245;	1755072165.000;	 err32;	 err32;	    err32
20250813;	133250;	1755072170.000;	 err32;	 err32;	    err32
20250813;	133255;	1755072175.000;	 err32;	 err32;	    err32
20250813;	133300;	1755072180.000;	 err32;	 err32;	    err32
20250813;	133305;	1755072185.000;	 err32;	 err32;	    err32
20250813;	133310;	1755072190.000;	 err32;	 err32;	    err32
20250813;	133315;	1755072195.000;	 err32;	 err32;	    err32
20250813;	133320;	1755072200.000;	 err32;	 err32;	    err32
20250813;	133325;	1755072205.000;	 err32;	 err32;	    err32
20250813;	133330;	1755072210.000;	 err32;	 err32;	    err32
20250813;	133335;	1755072215.000;	 err32;	 err32;	    err32
20250813;	133340;	1755072220.000;	 err32;	 err32;	    err32
20250813;	133345;	1755072225.000;	 err32;	 err32;	    err32
20250813;	133350;	1755072230.000;	 err32;	 err32;	    err32
20250813;	133355;	1755072235.000;	 err32;	 err32;	    err32
20250813;	133400;	1755072240.000;	 err32;	 err32;	    err32
20250813;	133405;	1755072245.000;	 err32;	 err32;	    err32
20250813;	133410;	1755072250.000;	 err32;	 err32;	    err32
20250813;	133415;	1755072255.000;	 err32;	 err32;	    err32
20250813;	133420;	1755072260.000;	 err32;	 err32;	    err32
20250813;	133425;	1755072265.000;	 err32;	 err32;	    err32
20250813;	133430;	1755072270.000;	 err32;	 err32;	    err32
20250813;	133435;	1755072275.000;	 err32;	 err32;	    err32
20250813;	133440;	1755072280.000;	 err32;	 err32;	    err32
20250813;	133445;	1755072285.000;	 err32;	 err32;	    err32
20250813;	133450;	1755072290.000;	 err32;	 err32;	    err32
20250813;	133455;	1755072295.000;	 err32;	 err32;	    err32
20250813;	133500;	1755072300.000;	 err32;	 err32;	    err32
20250813;	133505;	1755072305.000;	  err8;	  err8;	     err8
20250813;	133510;	1755072310.000;	  err8;	  err8;	     err8
20250813;	133515;	1755072315.000;	  err8;	  err8;	     err8
20250813;	133520;	1755072320.000;	     1;	 err19;	    err19
20250813;	133525;	1755072325.000;	     1;	 err19;	    err19
20250813;	133530;	1755072330.000;	     1;	 err19;	    err19
20250813;	133535;	1755072335.000;	     1;	 err19;	    err19
20250813;	133540;	1755072340.000;	     1;	 err19;	    err19
20250813;	133545;	1755072345.000;	     1;	 err19;	    err19
20250813;	133550;	1755072350.000;	     1;	 err19;	    err19
20250813;	133555;	1755072355.000;	     1;	 err19;	    err19
20250813;	133600;	1755072360.000;	     1;	 err19;	    err19
20250813;	133605;	1755072365.000;	     1;	 err19;	    err19
20250813;	133610;	1755072370.000;	     1;	 err19;	    err19
20250813;	133615;	1755072375.000;	     1;	 err19;	    err19
20250813;	133620;	1755072380.000;	     1;	 err19;	    err19
20250813;	133625;	1755072385.000;	     1;	 err19;	    err19
20250813;	133630;	1755072390.000;	     1;	 err19;	    err19
20250813;	133635;	1755072395.000;	     1;	 err19;	    err19
20250813;	133640;	1755072400.000;	     1;	 err19;	    err19
20250813;	133645;	1755072405.000;	     1;	 err19;	    err19
20250813;	133650;	1755072410.000;	     1;	 err19;	    err19
20250813;	133655;	1755072415.000;	     1;	 err19;	    err19
20250813;	133700;	1755072420.000;	 err32;	 err32;	    err32
20250813;	133705;	1755072425.000;	 err32;	 err32;	    err32
20250813;	133710;	1755072430.000;	 err32;	 err32;	    err32
20250813;	133715;	1755072435.000;	 err32;	 err32;	    err32
20250813;	133720;	1755072440.000;	 err32;	 err32;	    err32
20250813;	133725;	1755072445.000;	 err32;	 err32;	    err32
20250813;	133730;	1755072450.000;	 err32;	 err32;	    err32
20250813;	133735;	1755072455.000;	 err32;	 err32;	    err32
20250813;	133740;	1755072460.000;	 err32;	 err32;	    err32
20250813;	133745;	1755072465.000;	 err32;	 err32;	    err32
20250813;	133750;	1755072470.000;	 err32;	 err32;	    err32
20250813;	133755;	1755072475.000;	 err32;	 err32;	    err32
20250813;	133800;	1755072480.000;	 err32;	 err32;	    err32
20250813;	133805;	1755072485.000;	 err32;	 err32;	    err32
20250813;	133810;	1755072490.000;	 err32;	 err32;	    err32
20250813;	133815;	1755072495.000;	 err32;	 err32;	    err32
20250813;	133820;	1755072500.000;	 err32;	 err32;	    err32
20250813;	133825;	1755072505.000;	  err8;	  err8;	     err8
20250813;	133830;	1755072510.000;	  err8;	  err8;	     err8
20250813;	133835;	1755072515.000;	     1;	 err19;	    err19
20250813;	133840;	1755072520.000;	     1;	 err19;	    err19
20250813;	133845;	1755072525.000;	     1;	 err19;	    err19
